dataset,model,seed,best_m_val,val_acc_at_best_m,m_sweep_val,test_acc,test_f1_macro,test_f1_weighted,test_precision,test_recall,test_balanced_acc
imdb,de_full,0,0.9,0.858,"[{'m': 0.1, 'val_acc': 0.8572}, {'m': 0.3, 'val_acc': 0.8564}, {'m': 0.5, 'val_acc': 0.852}, {'m': 0.7, 'val_acc': 0.8528}, {'m': 0.9, 'val_acc': 0.858}]",0.85028,0.8501261452558757,0.850136133329152,0.8308097928436912,0.8804885837458087,0.8502170351789811
imdb,de_full,1,0.1,0.86,"[{'m': 0.1, 'val_acc': 0.86}, {'m': 0.3, 'val_acc': 0.8568}, {'m': 0.5, 'val_acc': 0.8564}, {'m': 0.7, 'val_acc': 0.856}, {'m': 0.9, 'val_acc': 0.8448}]",0.85116,0.851143274458318,0.8511399924652334,0.8605946432959293,0.8388152642503592,0.8511857305699447
imdb,de_full,2,0.1,0.866,"[{'m': 0.1, 'val_acc': 0.866}, {'m': 0.3, 'val_acc': 0.864}, {'m': 0.5, 'val_acc': 0.8508}, {'m': 0.7, 'val_acc': 0.8596}, {'m': 0.9, 'val_acc': 0.8528}]",0.84856,0.8481607175923525,0.8481445220500766,0.890457469621158,0.7956250997924318,0.8486703340873334
imdb,de_full,3,0.5,0.8516,"[{'m': 0.1, 'val_acc': 0.8476}, {'m': 0.3, 'val_acc': 0.8436}, {'m': 0.5, 'val_acc': 0.8516}, {'m': 0.7, 'val_acc': 0.8508}, {'m': 0.9, 'val_acc': 0.8436}]",0.85484,0.8548398046724411,0.8548401549149605,0.8557946092937695,0.8542232157113204,0.854841285585338
imdb,de_full,4,0.5,0.8588,"[{'m': 0.1, 'val_acc': 0.8428}, {'m': 0.3, 'val_acc': 0.8524}, {'m': 0.5, 'val_acc': 0.8588}, {'m': 0.7, 'val_acc': 0.8524}, {'m': 0.9, 'val_acc': 0.8532}]",0.84924,0.8490279219129183,0.8490161523712659,0.8795180722891566,0.8100750439086699,0.8493216329051125
imdb,de_full,5,0.5,0.8592,"[{'m': 0.1, 'val_acc': 0.8536}, {'m': 0.3, 'val_acc': 0.85}, {'m': 0.5, 'val_acc': 0.8592}, {'m': 0.7, 'val_acc': 0.8444}, {'m': 0.9, 'val_acc': 0.8496}]",0.85692,0.856909019541578,0.8569116267737147,0.8525171354289766,0.8638831231039438,0.8569054865158969
imdb,de_full,6,0.3,0.856,"[{'m': 0.1, 'val_acc': 0.85}, {'m': 0.3, 'val_acc': 0.856}, {'m': 0.5, 'val_acc': 0.8552}, {'m': 0.7, 'val_acc': 0.84}, {'m': 0.9, 'val_acc': 0.85}]",0.85356,0.8535599941423998,0.8535600550614423,0.8551967305072522,0.8519878652403001,0.853563276856161
imdb,de_full,7,0.3,0.8608,"[{'m': 0.1, 'val_acc': 0.8536}, {'m': 0.3, 'val_acc': 0.8608}, {'m': 0.5, 'val_acc': 0.854}, {'m': 0.7, 'val_acc': 0.858}, {'m': 0.9, 'val_acc': 0.8536}]",0.85216,0.8520107235720413,0.8520204998620337,0.832755501959602,0.8820852626536804,0.8520976257151679
imdb,de_full,8,0.5,0.8652,"[{'m': 0.1, 'val_acc': 0.8632}, {'m': 0.3, 'val_acc': 0.862}, {'m': 0.5, 'val_acc': 0.8652}, {'m': 0.7, 'val_acc': 0.8616}, {'m': 0.9, 'val_acc': 0.8644}]",0.85024,0.8502192856866841,0.8502156219305875,0.8605090311986864,0.8367395816701262,0.8502681394000784
imdb,de_full,9,0.1,0.864,"[{'m': 0.1, 'val_acc': 0.864}, {'m': 0.3, 'val_acc': 0.8624}, {'m': 0.5, 'val_acc': 0.8612}, {'m': 0.7, 'val_acc': 0.854}, {'m': 0.9, 'val_acc': 0.854}]",0.84976,0.8497328567049449,0.8497370574529891,0.8423106947697112,0.8614082707967428,0.8497357210966238
