dataset,model,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_weighted_mean,test_f1_weighted_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_balanced_acc_mean,test_balanced_acc_std
imdb,de_best,0.8584720000000001,0.003976470797076214,0.858445874869392,0.004003725864969158,0.8584463178217069,0.004004215932925142,0.8593966367387731,0.010977989274890812,0.8582308797700783,0.015837976327287562,0.8584725025754352,0.0039730393553389885
imdb,de_full,0.8497680000000001,0.0027513487601538507,0.8496194877486163,0.0028850643572254815,0.8496217657774757,0.0028802338523627956,0.8479057003048546,0.02361944837120509,0.8550375219543349,0.03289315501557689,0.8497570165487565,0.0027808018062772384
imdb,diff,0.854808,0.002247380697612192,0.8547901045616193,0.0022428085721685107,0.8547897983929611,0.0022443357599711404,0.8574275030649228,0.008120270130399078,0.8520836659747724,0.01343055173736748,0.8548136784258983,0.0022370273258474184
imdb,jde,0.852616,0.002381696874079511,0.8526029001429919,0.00238268066711344,0.8526035465409658,0.0023844914385516055,0.8529444775502378,0.006163765641888327,0.8530257065304166,0.011752142485524648,0.8526151460341678,0.002369556558193236
imdb,standard,0.8672000000000001,0.0008836288813749621,0.8671749960998743,0.0008906485559035395,0.867173997086304,0.0008906616789861287,0.871968156703975,0.011208492464077078,0.8617914737346319,0.014761661342917337,0.8672112731828523,0.0008848299081071361
twitter,de_best,0.78522,0.0043872416036604195,0.7850815987469617,0.004429682061441677,0.7850808095796536,0.004429685938533878,0.796647383691353,0.012103158297847702,0.7667066586682664,0.018720702150151976,0.7852237034089481,0.004387367374472046
twitter,de_full,0.782405,0.0042595285341612025,0.7821651223155601,0.004231064423154777,0.78216382579422,0.004230980455280302,0.8007958660906092,0.011678267568472182,0.7524495100979804,0.015139186883946701,0.7824109922964396,0.004260187424978577
twitter,diff,0.784865,0.0034316379309142116,0.7847779397155885,0.0034742254984070613,0.7847774029089104,0.0034744600194532454,0.7925488161048267,0.00973724132105142,0.7723155368926214,0.01787124043626682,0.7848675103947004,0.003430699506658333
twitter,jde,0.78632,0.003221990413117675,0.786105675774907,0.0033481813044669087,0.7861046602403872,0.0033485037283359073,0.8012326243084509,0.013228071638351066,0.7625274945010998,0.0230379520667852,0.7863247594529904,0.0032208270875289844
twitter,standard,0.78705,0.0038179401077893336,0.7869256219412799,0.00383808824766847,0.7869252508880052,0.0038377634275258508,0.7930394323529424,0.015783898714447377,0.7780643871225755,0.022643983540995404,0.7870517974820719,0.0038195633577320478
